area,id,year,text,average,argentina,australia,brazil,canada,china,france,germany,india,indonesia,italy,japan,korea,mexico,russia,saudi.arabia,south.africa,turkey,united.kingdom,united.states,european.union
Macroeconomic Policy,2013-43,2013,"[Members have commited to a wide range of reforms to strengthen the foundations for strong, sustainable and balanced growth over the long term by improving] credit access. ",0.1,-1,0,0,0,1,0,0,1,1,-1,0,1,0,0,0,0,-1,0,1,0
Macroeconomic Policy,2013-90,2013,"To lift growth and create jobs by boosting investment, we commit to identify and start to implement by the Brisbane Summit a set of collective and country-specific actions that tangibly improve our domestic investment environments such that they are more favorable to long-term investment financing and can lead to an effective increase of implemented projects, particularly in infrastructure and for SMEs",0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
Macroeconomic Policy,2014-7. ,2014,"We will continue to implement fiscal strategies flexibly, taking into account near-term economic conditions, while putting debt as a share of GDP on a sustainable path",0.05,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1,0,0,0,0
Macroeconomic Policy,2014-15.,2014,"We are working to facilitate long-term financing from institutional investors … particularly for small and medium-sized enterprises]"" ",0.789473684,0,1,−1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,1
Macroeconomic Policy,2014-136.,2014,"We reiterate our commitment to move more rapidly toward more market-determined exchange rate systems and exchange rate flexibility to reflect underlying fundamentals, and avoid persistent exchange rate misalignments",0.375,-1,1,−1,1,1,,,1,-1,,1,1,1,1,-1,-1,-1,1,1,1
Macroeconomic Policy,2015-5.,2015,"We reiterate our commitment to implement fiscal policies flexibly to take into account near-term economic conditions, so as to support growth and job creation, while putting debt as a share of GDP on a sustainable path",0.6,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1
Macroeconomic Policy,2015-31,2015,"We support policies that allow firms of all sizes, particularly SMEs, in countries at all levels of economic development to participate in and take full advantage of GVCs",0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1
Macroeconomic Policy, 2016-06,2016,"We are determined to use all policy tools - monetary, fiscal and structural - individually and collectively to achieve our goal of strong, sustainable, balanced and inclusive growth",0.75,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1
Macroeconomic Policy,2016-107,2016,"We support policies that encourage firms of all sizes, in particular women and youth entrepreneurs, women-led firms and SMEs, to take full advantage of global value chains, and that encourage greater participation, value addition and upward mobility in GVCs",0,-1,-1,0,1,1,-1,1,1,0,0,0,-1,-1,0,0,0,0,-1,1,1
Macroeconomic Policy, 2017-6,2017,"We will continue to use all policy tools - monetary, fiscal and structural - individually and collectively to achieve our goal of strong, sustainable, balanced and inclusive growth, while enhancing economic and financial resilience. ",-0.2,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,-1,0,0,0
Macroeconomic Policy,2017-215,2017,"Facilitate learning, dialogue and exchanges of experiences and good practices among all stakeholders such as the private sector and governments with the objective of agreeing on the characteristics of productive inclusive business ecosystems and developing effective policy instruments and practical tools.",0.8,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1
Macroeconomic Policy,2018-115,2018,We are steadfast in our commitment to ensure that growth is inclusive and that the benefits are shared widely amongst our citizens. ,0.7,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1
Macroeconomic Policy, 2019-6,2019,"We reaffirm our commitment to use all policy tools to achieve strong, sustainable, balanced and inclusive growth, and safeguard against downside risks, by stepping up our dialogue and actions to enhance confidence. ",0.75,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
Macroeconomic Policy, 2019-9,2019,We also reaffirm the exchange rate commitments made by our Finance Ministers and Central Bank Governors in March 2018,0.82,1,1,1,1,-1,,,1,1,,1,1,1,1,0,1,1,1,1,1
Macroeconomic Policy,2020-70,2020,"We will continue our efforts to reduce inequalities, reaffirming our previous commitments to promote inclusive growth. ",0.9,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
Macroeconomic Policy,2020-36,2020,"We will strengthen long-term financial resilience and support growth, including through promoting sustainable capital flows and developing domestic capital markets. ",0.9,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
Trade,2008-33,2008,"“We underscore the critical importance of rejecting protectionism and not turning inward in times of financial uncertainty. In this regard, within the next 12 months, we will refrain from raising new barriers to investment or to trade in goods and services”",-0.2,-1,1,1,0,0,-1,1,0,0,-1,1,0,-1,1,-1,-1,-1,0,-1,-1
Trade,2008-34,2008,"We underscore the critical importance of rejecting protectionism and not turning inward in times of financial uncertainty. In this regard, within the next 12 months, we will refrain from] imposing new export restrictions”",0.8,1,1,1,1,0,1,1,1,-1,1,1,1,0,1,1,1,1,1,1,1
Trade,2008-35,2008,"“[We underscore the critical importance of rejecting protectionism and not turning inward in times of financial uncertainty. In this regard, within the next 12 months, we will refrain from] implementing World Trade Organization (WTO) inconsistent measures to stimulate exports.”",0.2,-1,1,1,-1,-1,0,1,1,0,-1,1,1,0,1,0,-1,1,1,-1,1
Trade,2009L-62-68 ,2009,"We reaffirm the commitment made in Washington: to refrain from raising new barriers to investment or to trade in goods and services, imposing new export restrictions, or implementing World Trade Organisation (WTO) inconsistent measures to stimulate exports",0.5,0,1,1,1,0,1,1,0,-1,1,0,1,0,0,0,1,1,1,0,1
Trade,2009P-107 ,2009,"We will keep markets open and free and reaffirm the commitments made in Washington and London: to refrain from raising barriers or imposing new barriers to investment or to trade in goods and services, imposing new export restrictions or implementing World Trade Organization (WTO) inconsistent measures to stimulate exports and commit to rectify such measures as they arise.",0.05,0,0,-1,0,0,0,0,-1,-1,1,-1,1,0,-1,0,1,1,1,0,1
Trade,2010T-44 ,2010,"We renew for a further three years, until the end of 2013, our commitment to refrain from raising barriers or imposing new barriers to investment or trade in goods and services, imposing new export restrictions or implementing World Trade Organization (WTO)- inconsistent measures to stimulate exports.",0.15,-1,1,-1,1,1,1,1,-1,0,1,1,1,-1,-1,1,-1,-1,1,-1,1
Trade,2010S-96 ,2010,We therefore reaffirm the extension of our standstill commitments until the end of 2013 as agreed in Toronto.,-0.05,-1,1,-1,0,-1,0,0,0,0,0,1,1,0,-1,1,-1,0,0,0,0
Trade,2011C-47,2011,"We reaffirm our standstill commitments until the end of 2013, as agreed in Toronto, commit to roll back any new protectionist measure that may have risen, including new export restrictions and WTO-inconsistent measures to stimulate exports",0.25,-1,0,0,1,0,1,1,-1,-1,1,1,0,0,-1,1,1,0,1,0,1
Trade,2012LC-48 ,2012,"Following up our commitment made in Cannes, we reaffirm our standstill commitment until the end of 2014 with regard to measures affecting trade and investment, and our pledge to roll back any new protectionist measure that may have arisen, including new export restrictions and WTO inconsistent measures to stimulate exports. ",0.25,-1,1,-1,1,0,1,1,-1,0,0,1,1,1,-1,0,-1,0,1,1,1
Trade, 2013-92,2013,We recognize the risks of economic slowdown and trade weakening posed by protectionism. We extend until the end of 2016 our standstill commitment. ,-0.35,-1,1,0,0,-1,-1,-1,0,0,-1,0,-1,1,-1,0,0,0,-1,0,-1
Trade,2013-94,2013,We are committed to timely complying with WTO notification requirements,-0.19,0,0,0,0,0,,,0,-1,,0,0,-1,0,-1,0,0,,0,0
Trade,2014-29,2014,We reaffirm our longstanding standstill and rollback commitments to resist protectionist,-0.3,-1,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,0,-1,0,0,0,0
Trade,2014-67.,2014,We commit to implement all elements of the Bali package,0.25,-1,1,0,1,0,1,1,0,0,-1,1,0,0,0,-1,1,-1,1,1,1
Trade,2015-32,2015,We further reaffirm our longstanding commitment to standstill and rollback on protectionist measures,0.3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0
Trade,2015 37-45?,2015,"We will continue our efforts to ensure that our bilateral, regional and plurilateral trade agreements complement one another, are transparent and inclusive, are consistent with and contribute to a strong multilateral trade system under WTO rules",0.6,0,1,0,1,1,1,1,1,0,1,1,-1,1,0,-1,1,1,1,1,1
Trade,2015-46,2015,We emphasize the important role of trade in global development efforts and will continue to support mechanisms such as Aid for Trade in developing countries in need of capacity building assistance,0.9,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Trade,2016-98,2016,"We extend our commitments to standstill and rollback of protectionist measures till the end of 2018, reaffirm our determination to deliver on them",0.3,1,1,0,1,1,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,1
Trade,2016-100,2016,"We endorse the G20 Strategy for Global Trade Growth, under which the G20 will lead by example to lower trade costs",0.8,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1
Trade,2016-104,2016,"[We endorse the G20 Strategy for Global Trade Growth, under which the G20 will lead by example to] promote e-commerce development",0.6,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,-1,1
Trade,2016-106,2016,"We endorse the G20 Guiding Principles for Global Investment Policymaking, which will help foster an open, transparent and conductive global policy environment for investment",0.9,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Trade,2017-43,2017,We will constructively engage in WTO discussions relating to e-commerce and in other international fora with responsibilities related to various aspects of digital trade to foster digital economy development and trade,0.6,1,1,1,1,1,-1,0,1,0,0,1,1,1,1,-1,1,0,1,1,1
Trade, 2017-11 ,2017,"We will keep markets open noting the importance of reciprocal and mutually advantageous trade and investment frameworks and the principle of non-discrimination, and continue to fight protectionism including all unfair trade practices.",0.55,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0
Trade,2018-87,2018,We therefore support the necessary reform of the WTO to improve its functioning. ,0.6,1,1,1,1,1,0,1,0,1,0,1,1,1,0,-1,-1,1,1,1,1
Trade,2019-13,2019,[We strive to]…keep our markets open.,-0.12,0,0,0,0,0,,,0,0,,-1,-1,0,0,0,0,0,0,-1,1
Trade,2019-14,2019,We reaffirm our support for the necessary reform of the World Trade Organization (WTO) to improve its functions. ,0.85,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1
Trade,2020-27,2020,"We strive to realize the goal of a free, fair, inclusive, non-discriminatory, transparency, predictable, and stable trade and investment environment. ",0.65,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1
Trade,2020-28,2020,[We strive to]…keep our markets open.,0.12,0,0,0,-1,0,,,0,1,,0,1,0,1,0,0,0,0,0,0
Financial Regulation,2008W-27,2008,"[In consultation with other economies and existing bodies, drawing upon the recommendations of such eminent independent experts as they may appoint, we request our Finance Ministers to formulate additional recommendations, including in the following specific areas:] Strengthening the resilience and transparency of credit derivatives markets and reducing their systemic risks, including by improving the infrastructure of over-the-counter markets",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Financial Regulation,2008W-70,2008,"Financial institutions should have clear internal incentives to promote stability, and action needs to be taken, through voluntary effort or regulatory action, to avoid compensation schemes which reward excessive short-term returns or risk taking",0.15,-1,0,0,1,1,1,1,0,0,-1,1,1,-1,-1,0,0,0,0,1,0
Financial Regulation,2008W-76 ,2008,"National and regional authorities should also review business conduct rules to protect markets and investors, especially against market manipulation and fraud and strengthen their cross-border cooperation to protect the international financial system from illicit actors.",0.473684211,-1,0,,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1
Financial Regulation,2009L-39 ,2009,"We will amend our regulatory systems to ensure authorities are able to identify and take account of macro-prudential risks across the financial system including in the case of regulated banks, shadow banks, and private pools of capital to limit the build up of systemic risk;                                                                                                                                                   We will ensure that our national regulators possess the powers for gathering relevant information on all material financial institutions, markets, and instruments in order to assess the potential for their failure or severe stress to contribute to systemic risk. This will be done in close coordination at international level in order to achieve as much consistency as possible across jurisdictions;",-0.05,-1,0,-1,0,-1,1,0,0,0,-1,0,0,0,0,0,1,0,1,0,0
Financial Regulation,2009P-9 ,2009,"We committed to act together to raise capital standards, to implement strong international compensation standards aimed at ending practices that lead to excessive risk-taking, to improve the over-the-counter derivatives market and to create more powerful tools to hold large global firms to account for the risks they take.",0.15,0,1,-1,0,0,1,1,-1,-1,0,1,1,0,1,-1,0,-1,1,0,1
Financial Regulation,2009P-40 ,2009,"We commit to conduct robust, transparent stress tests as needed",0.777777778,0,1,1,1,1,1,1,1,1,1,,0,,0,0,1,1,1,1,1
Financial Regulation,2010T-26 ,2010,"We agreed to strengthen financial market infrastructure by accelerating the implementation of strong measures to improve transparency and regulatory oversight of hedge fund, credit rating agencies and over-the-counter derivatives, in an internationally consistent and non-discriminatory way.",0.1,0,0,0,1,0,0,1,0,-1,1,0,0,-1,0,-1,-1,0,1,1,1
Financial Regulation,2010T-31,2010,"We are committed to design and implement a system where we have the powers and tools to restructure or resolve all types of financial institutions in crisis, without taxpayers ultimately bearing the burden, and adopted principles that will guide implementation",0.95,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Financial Regulation,2010S-51 ,2010," In particular, we will implement fully the new bank capital and liquidity standards.",0.65,-1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1
Financial Regulation,2010S-83 ,2010," We endorsed the policy framework, work processes, and timelines proposed by the FSB to reduce the moral hazard risks posed by systemically important financial institutions (SIFIs) and address the too-big-to-fail problem. ",0.7,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1
Financial Regulation,2010S-90 ,2010,[We also firmly recommitted to work in an internationally consistent and non-discriminatory manner to strengthen regulation and supervision on] OTC derivatives,0.65,1,1,1,1,1,1,1,1,0,1,1,1,1,0,-1,0,-1,1,1,1
Financial Regulation,2010S-92 ,2010,We reaffirmed the importance of fully implementing the FSB’s standards for sound compensation.,0.45,-1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,-1,0,1,0,1
Financial Regulation,2011C-147,2011,"We commit to the full and timely implementation of the financial sector reform agenda agreed up through Seoul, including: implementing Basel II, II.5 and III along the agreed timelines;",0.55,-1,1,1,1,1,1,1,1,-1,1,1,0,1,0,1,1,-1,1,0,1
Financial Regulation,2011C-149,2011,"[We commit to the full and timely implementation of the financial sector reform agenda agreed up through Seoul, including:] clearing and trading obligations for OTC derivatives;",0.736842105,1,1,1,1,1,1,1,1,,1,1,1,1,1,-1,0,-1,1,1,1
Financial Regulation,2011C-152,2011,"[We commit to the full and timely implementation of the financial sector reform agenda agreed up through Seoul, including:] a comprehensive framework to address the risks posed by systemically-important financial institutions",0.85,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
Financial Regulation,2012LC-64 ,2012,"In particular, we recognize the substantial progress to date in the priority reform areas identified by the FSB’s Coordination Framework for Implementation Monitoring (CFIM): the Basel capital and liquidity framework; the framework for global systemically important financial institutions (GSIFIs), resolution regimes, over-the-counter (OTC) derivatives reforms, shadow banking, and compensation practices.] We commit to complete work in these important areas to achieve full implementation of reforms",0.55,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0
Financial Regulation,2012LC-65 ,2012,"We reaffirm our commitment that all standardized OTC derivative contracts should be traded on exchanges or electronic trading platforms, where appropriate, and cleared through central counterparties by end-2012, OTC derivative contracts should be reported to trade repositories and non-centrally cleared contracts should be subject to higher capital requirements",0.368421053,1,1,1,0,0,0,0,1,,0,1,0,0,0,1,0,0,0,1,0
Financial Regulation,2012LC-68 ,2012,We reiterate our commitment to strengthen the intensity and effectiveness of the supervision of SIFIs ,0.15,-1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Financial Regulation,2016-53,2016,"To this end, we remain committed to finalizing remaining critical elements of the regulatory framework and to the timely, full and consistent implementation of the agreed financial sector reform agenda, including Basel III and the total-loss-absorbing-capacity (TLAC) standard as well as effective cross-border resolution regimes",0.45,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1
Financial Regulation,2016-199,2016,"Based on the G20/OECd Guidance Note on Diversification of Financial Instruments for Infrastructure and Small and Medium Enterprises (SMEs), we will further promote diversified financing instruments on a voluntary basis",0.45,1,0,1,1,1,0,0,0,1,-1,0,0,0,1,1,1,1,0,0,1
Financial Regulation,2016-120,2016,We support the effective implementation of the G20/OECD Principles of Corporate Governance,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Financial Regulation,2016-121,2016,[We support the effective implementation of the] G20/OECD High-level Principles on SME Financing,0.4,0,0,0,1,1,1,1,1,0,0,0,-1,-1,0,0,0,0,-1,1,1
Financial Regulation,2017-49,2017,"We will work to finalize the Basel III framework without further significantly increasing overall capital requirements across the banking sector, while promoting a level playing field. ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Financial Regulation,2018-80,2018,We will step up efforts to ensure that the potential benefits of technology in the financial sector can be realized while risks are mitigated. ,0.05,0,0,0,0,0,0,0,-1,0,0,1,0,-1,0,0,0,0,1,0,1
Development,2008W-5 ,2008,"[As immediate steps to achieve these objectives, as well as to address longer-term challenges, we will:] Help emerging and developing economies gain access to finance in current difficult financial conditions, including through liquidity facilities and program support.",0.8,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1
Development,2009L-75-76 ,2009,"We reaffirm our historic commitment to meeting the Millennium Development Goals and to achieving our respective ODA pledges, including commitments on Aid for Trade, debt relief, and the Gleneagles commitments, especially to sub-Saharan Africa.",0.3,-1,1,1,1,-1,1,1,0,0,0,1,0,0,1,0,-1,-1,1,1,1
Development,2009L-78 ,2009,"We are making available resources for social protection for the poorest countries, including through investing in long-term food security and through voluntary bilateral contributions to the World Bank’s Vulnerability Framework, including the Infrastructure Crisis Facility, and the Rapid Social Response Fund.",0,-1,0,0,0,0,1,1,-1,-1,0,0,-1,0,0,0,0,0,1,0,1
Development,2009P-88 ,2009,"We reaffirm our historic commitment to meet the Millennium Development Goals and our respective Official Development Assistance (ODA) pledges, including commitments on Aid for Trade, debt relief, and those made at Gleneagles, especially to sub-Saharan Africa, to 2010 and beyond.",-0.05,-1,1,-1,0,0,0,1,-1,-1,-1,0,0,0,0,0,1,-1,1,1,0
Development,2009P-89 ,2009,"Even before the crisis, too many still suffered from hunger and poverty and even more people lack access to energy and finance. Recognizing that the crisis has exacerbated this situation, we pledge cooperation to improve access to food, fuel, and finance for the poor.",0.875,,,,1,,1,,,,,,,1,1,0,,1,1,1,
Development,2009P-97 ,2009,We note the principles of the Paris Declaration on Aid Effectiveness and the Accra Agenda for Action and will work to increase the transparency of international aid flows by 2010.,-0.05,-1,0,-1,1,0,0,0,-1,-1,0,1,0,0,0,0,0,-1,1,0,1
Development,2010T-20 ,2010,"We will continue to support development financing, including through new approaches that encourage development financing from both public and private sources.",0.15,0,0,0,1,0,1,1,0,-1,0,1,0,-1,0,-1,-1,0,1,1,1
Development,2010T-35,2010,"We will fulfill our commitment to ensure an ambitious replenishment for the concessional lending facilities of the MDBs, especially the International Development Association and the African Development Fund",-0.05,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1
Development,2010T-51 ,2010,We commit to maintain momentum for Aid for Trade.,0.95,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Development,2010S-122 ,2010,We also reaffirm our respective ODA pledges and commitments to assist the poorest countries and mobilize domestic resources made following on from the Monterrey Consensus and other forums. ,0.65,-1,1,0,1,1,1,1,1,0,1,1,1,-1,1,0,1,1,1,1,1
Development,2010S-47,2010,"In addition, we will take concrete actions to increase our financial and technical support, including fulfilling the Official Development Assistance (ODA) commitments by advanced countries. ",0.25,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Development,2010S-77,2010,"“We reiterate our commitment to completing an ambitious replenishment for the concessional lending facilities of the MDBs, especially the International Development Association, to help ensure that LICs have access to sufficient concessional resources”.  ",0.3,0,0,0,1,1,1,1,-1,-1,1,1,1,0,0,0,0,0,1,1,-1
Development,2010S-107,2010,"We commit to work in partnership with other developing countries, LICs in particular, to help them build the capacity to achieve and maintain their maximum economic growth potential. ",0.4,0,1,1,0,1,0,1,1,1,0,0,1,0,-1,-1,0,1,1,0,1
Development,2010S-108,2010,We agree to establish a High-Level Panel (HLP) to recommend measures to mobilize infrastructure financing and review MDBs’ policy frameworks. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Development,2010S-109,2010,We will announce the Chair of the HLP by December 2010;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Development,2010S-110,2010,"[We will]: Improve the development of employable skills matched to employer and labor market needs in order to enhance the ability to attract investment, create decent jobs and increase productivity. ",0.45,-1,1,0,1,-1,1,1,1,1,1,1,1,0,-1,0,0,0,1,1,1
Development,2010S-111,2010,"We will support the development of internationally comparable skills indicators and the enhancement of national strategies for skills development, building on the G20 Training Strategy. ",0.052631579,0,0,0,0,0,0,1,1,-1,0,-1,1,0,0,0,0,0,,0,0
Development,2010S-112,2010,[We will]: Improve the access and availability to trade with advanced economies and between developing and LICs. ,-0.25,-1,0,0,-1,0,0,1,0,-1,-1,-1,0,0,-1,-1,1,-1,0,0,1
Development,2010S-113 ,2010,"[we will]: Identify, enhance and promote responsible private investment in value chains and develop key indicators for measuring and maximizing the economic and employment impact of private sector investment;",0.47,0,1,1,1,1,1,1,0,1,-1,0,-1,-1,,1,0,1,1,1,1
Development,2010S-116,2010,"[we will]: Improve income security and resilience to adverse shocks by assisting developing countries enhance social protection programs, including through further implementation of the UN Global Pulse Initiative, and by facilitating implementation of initiatives aimed at a quantified reduction of the average cost of transferring remittances; ",-0.4,-1,0,0,-1,-1,0,0,-1,0,0,-1,0,-1,0,-1,-1,0,0,0,0
Development,2010S-117,2010,[we will] Increase access to finance for the poor and small and medium enterprises (SMEs).,0.3,0,1,0,1,1,1,1,0,0,1,0,-1,-1,-1,0,0,0,1,1,1
Development,2010S-118,2010,[we will] Build sustainable revenue bases for inclusive growth and social equity by improving developing country tax administration systems and policies and highlighting the relationship between non-cooperative jurisdictions and development; ,0.15,0,0,0,1,0,1,1,0,-1,1,0,-1,-1,0,0,0,-1,1,1,1
Development,2010S-119 ,2010,"[we will] scale up and mainstream sharing of knowledge and experience, especially between developing countries, in order to improve their capacity and ensure that the broadest range of experiences are used to help tailor national policies.",0.631578947,1,1,1,0,1,0,,1,1,0,1,1,0,0,1,0,1,1,0,1
Development,2010S-120,2010,"We commit to and prioritize full, timely and effective implementation of the Multi-Year Action Plan, understanding its high potential to have a positive transformative impact on people’s lives, both through our individual and collective actions and in partnership with other global development stakeholders. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Development,2010S-121 ,2010,"We reaffirm our commitment to the achievement of the MDGs and will align our work in accordance with globally agreed development principles for sustainable economic, social and environmental development, to complement the outcomes of the UN High-Level Plenary Meeting on the MDGs held in September 2010 in New York, as well as with processes such as the Fourth UN LDC Summit in Turkey and the Fourth High-Level Forum on Aid Effectiveness in Korea, both to be held in 2011. ",0.1875,-1,0,0,1,-1,0,1,0,,0,0,1,0,0,0,,,1,,1
Development,2010S-123,2010,"We further mandate the Development Working Group to monitor implementation of the Multi-Year Action Plan, so that we may review progress and consider the need for any further steps at the 2011 Summit in France. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
